,two_qubit_reduction,one_qubit_reduction,cx_count_out,cx_count_in,one_qubit_count_out,one_qubit_count_in,n_qubits,n_rep,non_matching_cx,time_diff,arch,algorithm,p_edge,circ_reps
98,-1.0,-11.833333333333334,16,8,77,6,4,4,10,0.014736175537109375,square,pyzx,0.5,1
99,0.5,-3.3333333333333335,4,8,26,6,4,4,2,0.005706787109375,square,tket,0.5,1
100,0.3333333333333333,0.0,8,12,8,8,4,5,0,0.014321327209472656,square,divide_fast,0.5,1
101,0.0,0.0,12,12,8,8,4,5,0,1.490614891052246,square,pauli_opt,0.5,1
102,-0.6666666666666666,-9.875,20,12,87,8,4,5,9,0.013643026351928711,square,pyzx,0.5,1
103,0.5,-2.5,6,12,28,8,4,5,2,0.0053310394287109375,square,tket,0.5,1
104,0.0,0.0,6,6,5,5,4,6,0,0.009212017059326172,square,divide_fast,0.5,1
105,0.3333333333333333,0.0,4,6,5,5,4,6,0,1.442427158355713,square,pauli_opt,0.5,1
106,0.6666666666666666,-7.6,2,6,43,5,4,6,2,0.00758814811706543,square,pyzx,0.5,1
107,0.6666666666666666,-4.0,2,6,25,5,4,6,2,0.004282951354980469,square,tket,0.5,1
108,0.2,0.0,8,10,7,7,4,7,0,0.013355016708374023,square,divide_fast,0.5,1
109,0.2,0.0,8,10,7,7,4,7,0,1.3796911239624023,square,pauli_opt,0.5,1
110,-1.8,-15.714285714285714,28,10,117,7,4,7,13,0.015482902526855469,square,pyzx,0.5,1
111,-0.7,-3.0,17,10,28,7,4,7,0,0.008558034896850586,square,tket,0.5,1
112,0.0,0.0,4,4,6,6,4,8,0,0.011658906936645508,square,divide_fast,0.5,1
113,0.0,0.0,4,4,6,6,4,8,0,1.2975258827209473,square,pauli_opt,0.5,1
114,0.0,-8.666666666666666,4,4,58,6,4,8,0,0.010925054550170898,square,pyzx,0.5,1
115,0.0,-3.3333333333333335,4,4,26,6,4,8,0,0.004612922668457031,square,tket,0.5,1
116,0.0,0.0,6,6,7,7,4,9,0,0.013229846954345703,square,divide_fast,0.5,1
117,-0.6666666666666666,0.0,10,6,7,7,4,9,0,1.4816131591796875,square,pauli_opt,0.5,1
